Standard Commons Logging discovery in action with spring-jcl: please remove commons-logging.jar from classpath in order to avoid potential conflicts

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.2)

2025-11-03T19:35:01.292+08:00  INFO 50248 --- [pet-service] [           main] com.example.petweb.PetWebApplication     : Starting PetWebApplication v0.0.1-SNAPSHOT using Java 17.0.16 with PID 50248 (C:\Users\33185\Desktop\project\pet-project\pet-web\target\pet-web-0.0.1-SNAPSHOT.jar started by 33185 in C:\Users\33185\Desktop\project\pet-project\pet-web)
2025-11-03T19:35:01.301+08:00 DEBUG 50248 --- [pet-service] [           main] com.example.petweb.PetWebApplication     : Running with Spring Boot v3.3.2, Spring v6.1.11
2025-11-03T19:35:01.302+08:00  INFO 50248 --- [pet-service] [           main] com.example.petweb.PetWebApplication     : No active profile set, falling back to 1 default profile: "default"
2025-11-03T19:35:01.303+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.boot.SpringApplication               : Loading source class com.example.petweb.PetWebApplication
2025-11-03T19:35:01.412+08:00 DEBUG 50248 --- [pet-service] [           main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@13d9b21f
2025-11-03T19:35:01.464+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-11-03T19:35:01.484+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-11-03T19:35:01.580+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/ArticlesController.class]
2025-11-03T19:35:01.582+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/FostersController.class]
2025-11-03T19:35:01.586+08:00 DEBUG 50248 --- [pet-service] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/C:/Users/33185/Desktop/project/pet-project/pet-web/target/pet-web-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/example/petweb/controller/HealthAlertsController.class]
